pdf_filename,title,year,venue,category_candidate,category_final,relevance,include,exclude_reason,web_verified,notes_file
Scalable Gradients for Stochastic Differential Equations.pdf,Scalable Gradients for Stochastic Differential Equations,2020,Scalable Gradients for Stochastic Differential Equations.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2001.01328,,,unknown,pending,,no,
Score-Based Generative Modeling through Stochastic Differential Equations.pdf,Score-Based Generative Modeling through Stochastic Differential Equations,2020,Score-Based Generative Modeling through Stochastic Differential Equations.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2011.13456,,,unknown,pending,,no,
Single-Cell Entropy to Quantify the Cellular Order Parameter from Single-Cell RNA-Seq Data.pdf,Single-Cell Entropy to Quantify the Cellular Order Parameter from Single-Cell RNA-Seq Data,2020,Biophysical Reviews and Letters,journal,journal,direct,yes,,no,notes/2020__journal__biophysical_reviews_and_letters__single_cell_entropy_to_quantify_the_cellular_order_parameter_from_single_cell_rna_seq_data.md
"The mean field Schrödinger problem ergodic behavior, entropy estimates and functional inequalities.pdf","The mean field Schrödinger problem ergodic behavior, entropy estimates and functional inequalities",2020,Probability Theory and Related Fields (2020),math,math,high,yes,,no,notes/2020__math__ptrf__mean_field_schrodinger_problem.md
TrajectoryNet A Dynamic Optimal Transport Network for Modeling Cellular Dynamics.pdf,TrajectoryNet A Dynamic Optimal Transport Network for Modeling Cellular Dynamics,2020,ICML 2020,journal|math,math,high,yes,正式发表为 ICML 2020 顶会论文，内容高度相关，但应由 mlconf 批次处理，当前批次不生成 journal note。,no,notes/2020__math__icml__trajectorynet.md
Generalizing RNA velocity to transient cell states through dynamical modeling.pdf,Generalizing RNA velocity to transient cell states through dynamical modeling,2020,Nature Biotechnology,journal,journal,direct,yes,,no,notes/2020__journal__nature_biotechnology__generalizing_rna_velocity_to_transient_cell_states_through_dynamical_modeling.md
NicheNet modeling intercellular communication by linking ligands to target genes.pdf,NicheNet modeling intercellular communication by linking ligands to target genes,2020,https://doi.org/10.1038/s41592-019-0667-5,,,unknown,pending,,no,
Compositional perturbation autoencoder for single-cell response modeling.pdf,Compositional perturbation autoencoder for single-cell response modeling,2021,Compositional perturbation autoencoder for single-cell response modeling [Preprint]. bioRxiv,,,unknown,pending,,no,
Deep Generative Learning via Schrödinger Bridge.pdf,Deep Generative Learning via Schrödinger Bridge,2021,ICML 2021,math,math,high,yes,,no,notes/2021__math__icml__deep_generative_learning_via_schrodinger_bridge.md
Diffusion Schrödinger Bridge with Applications to Score-Based Generative Modeling.pdf,Diffusion Schrödinger Bridge with Applications to Score-Based Generative Modeling,2021,NeurIPS 2021,math,math,high,yes,,no,notes/2021__math__neurips__diffusion_schrodinger_bridge.md
Dissecting transition cells from single-cell transcriptome data through multiscale stochastic dynamics.pdf,Dissecting transition cells from single-cell transcriptome data through multiscale stochastic dynamics,2021,Nature Communications,journal,journal,direct,yes,,no,notes/2021__journal__nature_communications__mutrans.md
FGOT Graph Distances based on Filters and Optimal Transport.pdf,FGOT Graph Distances based on Filters and Optimal Transport,2021,AAAI 2021,math,,low,no,Static graph comparison via OT; not on the trajectory-inference or bridge/flow-matching route.,no,
Generative modeling of single-cell time series with PRESCIENT enables prediction of cell trajectories with interventions.pdf,Generative modeling of single-cell time series with PRESCIENT enables prediction of cell trajectories with interventions,2021,Nature Communications,journal,journal,direct,yes,,no,notes/2021__journal__nature_communications__prescient.md
Highly sensitive spatial transcriptomics at near-cellular resolution with Slide-seqV2.pdf,Highly sensitive spatial transcriptomics at near-cellular resolution with Slide-seqV2,2021,Nature Biotechnology,journal,,indirect,no,空间转录组测序平台论文，不做轨迹/动力学/扰动建模。,no,
Inference and analysis of cell-cell communication using CellChat.pdf,Inference and analysis of cell-cell communication using CellChat,2021,Nature Communications,journal,,indirect,no,细胞通讯推断工具，不做细胞状态轨迹或动力学建模。,no,
Learning high dimensional Wasserstein geodesics.pdf,Learning high dimensional Wasserstein geodesics,2021,arXiv preprint,math,,low,no,Balanced two-marginal Wasserstein geodesic solver only; too weakly connected to bridge/UOT/snapshot trajectory modeling.,no,
Likelihood Training of Schrödinger Bridge using Forward-Backward SDEs Theory.pdf,Likelihood Training of Schrödinger Bridge using Forward-Backward SDEs Theory,2021,ICLR 2022,math,math,high,yes,,no,notes/2021__math__iclr__likelihood_training_schrodinger_bridge_fbsde.md
LineageOT is a unified framework for lineage tracing and trajectory inference.pdf,LineageOT is a unified framework for lineage tracing and trajectory inference,2021,Nature Communications,journal,journal,direct,yes,,no,notes/2021__journal__nature_communications__lineageot.md
"Propagation of chaos a review of models, methods and applications. II. Applications.pdf","Propagation of chaos a review of models, methods and applications. II. Applications",2021,"Propagation of chaos: a review of models, methods and applications. II. Applications. arXiv preprint arXiv:2106.14812.",,,unknown,pending,,no,
Regularized unbalanced optimal transport as entropy minimization with respect to branching brownian motion.pdf,Regularized unbalanced optimal transport as entropy minimization with respect to branching brownian motion,2025,Astérisque 458 (2025),math,math,high,yes,,yes,notes/2021__math__arxiv__regularized_unbalanced_ot_branching_brownian_motion.md
The Wasserstein Proximal Gradient Algorithm.pdf,The Wasserstein Proximal Gradient Algorithm,2021,arXiv preprint,math,,low,no,"Generic optimization on Wasserstein space, not a direct OT/UOT/SB/FM mechanism for snapshot dynamics modeling.",no,
The most likely evolution of diffusing and vanishing particles Schrodinger Bridges with unbalanced marginals.pdf,The most likely evolution of diffusing and vanishing particles Schrodinger Bridges with unbalanced marginals,2021,SIAM Journal on Control and Optimization (2022),math,math,high,yes,,no,notes/2021__math__siam_jco__unbalanced_schrodinger_bridges_diffusing_vanishing_particles.md
Generalized and scalable trajectory inference in single-cell omics data with VIA.pdf,Generalized and scalable trajectory inference in single-cell omics data with VIA,2021,https://doi.org/10.1038/s41467-021-25773-3,,,unknown,pending,,no,
A unified computational framework for single-cell data integration with optimal transport.pdf,A unified computational framework for single-cell data integration with optimal transport,2022,Nature Communications,journal,,indirect,no,侧重多组学/空间数据整合，不直接建模轨迹、命运或连续动力学。,no,
Action Matching Learning Stochastic Dynamics from Samples.pdf,Action Matching Learning Stochastic Dynamics from Samples,2022,Action Matching: Learning Stochastic Dynamics from Samples.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2210.06662,,,unknown,pending,,no,
Benchmarking atlas-level data integration in single-cell genomics.pdf,Benchmarking atlas-level data integration in single-cell genomics,2022,Nature Methods,journal,,indirect,no,方法 benchmark 论文，不是轨迹/动力学方法。,no,
Building Normalizing Flows with Stochastic Interpolants.pdf,Building Normalizing Flows with Stochastic Interpolants,2022,Building Normalizing Flows with Stochastic Interpolants.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2209.15571,,,unknown,pending,,no,
Deep Generalized Schrödinger Bridge.pdf,Deep Generalized Schrödinger Bridge,2022,NeurIPS 2022,math,math,high,yes,,no,notes/2022__math__neurips__deep_generalized_schrodinger_bridge.md
E(3)-equivariant graph neural networks for data-efficient and accurate interatomic potentials.pdf,E(3)-equivariant graph neural networks for data-efficient and accurate interatomic potentials,2022,Nature Communications,journal,,offtopic,no,分子/材料势能建模，与单细胞轨迹问题无关。,no,
Energy landscape decomposition for cell differentiation with proliferation effect.pdf,Energy landscape decomposition for cell differentiation with proliferation effect,2022,National Science Review,journal,,indirect,no,研究细胞分化景观理论，但不是基于单细胞数据的轨迹/OT/FM/SB 方法。,no,
Flow Straight and Fast Learning to Generate and Transfer Data with Rectified Flow.pdf,Flow Straight and Fast Learning to Generate and Transfer Data with Rectified Flow,2022,Flow Straight and Fast: Learning to Generate and Transfer Data with Rectified Flow.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2209.03003,,,unknown,pending,,no,
Inference of cell state transitions and cell fate plasticity from single-cell with MARGARET.pdf,Inference of cell state transitions and cell fate plasticity from single-cell with MARGARET,2022,Nucleic Acids Research,journal,journal,direct,yes,,no,notes/2022__journal__nucleic_acids_research__margaret.md
Multi-omics single-cell data integration and regulatory inference with graph-linked embedding.pdf,Multi-omics single-cell data integration and regulatory inference with graph-linked embedding,2022,Nature Biotechnology,journal,,indirect,no,多组学整合与调控推断，不是直接的轨迹/动力学建模。,no,
Neural Lagrangian Schrödinger Bridge Diffusion Modeling for Population Dynamics.pdf,Neural Lagrangian Schrödinger Bridge Diffusion Modeling for Population Dynamics,2022,ICLR 2023,math,math,high,yes,,no,notes/2022__math__iclr__neural_lagrangian_schrodinger_bridge.md
Predicting Cellular Responses with Variational Causal Inference and Refined Relational Information.pdf,Predicting Cellular Responses with Variational Causal Inference and Refined Relational Information,2023,ICLR 2023,journal,mlconf,direct,yes,,no,notes/2023__journal__iclr__graphvci.md
Self-Consistency of the Fokker-Planck Equation.pdf,Self-Consistency of the Fokker-Planck Equation,2022,COLT 2022,math,,low,no,Generic neural solver for Fokker-Planck equations; lacks direct bridge/UOT/FM formulation for snapshot dynamics.,no,
Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays.pdf,Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays,2022,Cell,journal,,indirect,no,以数据生成与图谱构建为主，不是轨迹/动力学算法论文。,no,
The Schrödinger Bridge between Gaussian Measures has a Closed Form.pdf,The Schrödinger Bridge between Gaussian Measures has a Closed Form,2022,AISTATS 2023,math,math,high,yes,,no,notes/2022__math__aistats__gaussian_schrodinger_bridge_closed_form.md
Trajectory Inference via Mean-field Langevin in Path Space.pdf,Trajectory Inference via Mean-field Langevin in Path Space,2022,NeurIPS 2022,math,math,high,yes,,no,notes/2022__math__neurips__trajectory_inference_mean_field_langevin.md
Unbalanced CO-Optimal Transport.pdf,Unbalanced CO-Optimal Transport,2022,arXiv preprint,math,,low,no,Static co-optimal transport for sample-feature alignment; not a trajectory or bridge mechanism.,no,
Variational Mixtures of ODEs for Inferring Cellular Gene Expression Dynamics.pdf,Variational Mixtures of ODEs for Inferring Cellular Gene Expression Dynamics,2022,ICML 2022 (PMLR 162),journal,mlconf,direct,yes,,yes,notes/2022__journal__arxiv__velovae.md
Identifying multicellular spatiotemporal organization of cells with SpaceFlow.pdf,Identifying multicellular spatiotemporal organization of cells with SpaceFlow,2022,Nature Communications,journal,journal,direct,yes,,no,notes/2022__journal__nature_communications__spaceflow.md
A Computational Framework for Solving Wasserstein Lagrangian Flows.pdf,A Computational Framework for Solving Wasserstein Lagrangian Flows,2023,ICML 2024,math,math,high,yes,,no,notes/2023__math__icml__wasserstein_lagrangian_flows.md
A relay velocity model infers cell-dependent RNA velocity.pdf,A relay velocity model infers cell-dependent RNA velocity,2024,Nature Biotechnology,journal,journal,direct,yes,,no,notes/2024__journal__nature_biotechnology__celldancer.md
Conditional Flow Matching Simulation-Free Dynamic Optimal Transport.pdf,Conditional Flow Matching Simulation-Free Dynamic Optimal Transport,2023,arXiv preprint arXiv:2302.00482,math,math,high,yes,,yes,notes/2023__math__arxiv__conditional_flow_matching.md
Deep generative modeling of transcriptional dynamics for RNA velocity analysis in single cells.pdf,Deep generative modeling of transcriptional dynamics for RNA velocity analysis in single cells,2024,Nature Methods,journal,journal,direct,yes,,no,notes/2024__journal__nature_methods__velovi.md
Denoising Diffusion Bridge Models.pdf,Denoising Diffusion Bridge Models,2023,Denoising Diffusion Bridge Models.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2309.16948,,,unknown,pending,,no,
Diffusion Schrödinger Bridge Matching.pdf,Diffusion Schrödinger Bridge Matching,2023,NeurIPS 2023,math,math,high,yes,,no,notes/2023__math__neurips__diffusion_schrodinger_bridge_matching.md
Embryo mechanics cartography inference of 3D force atlases from fluorescence microscopy.pdf,Embryo mechanics cartography inference of 3D force atlases from fluorescence microscopy,2023,Nature Methods,journal,,offtopic,no,力学场推断方法，非单细胞轨迹/命运建模。,no,
Entropic regularisation of unbalanced optimal transportation problems.pdf,Entropic regularisation of unbalanced optimal transportation problems,2023,arXiv preprint arXiv:2305.02410,math,math,medium,yes,,yes,notes/2023__math__arxiv__entropic_regularisation_unbalanced_ot.md
Entropy-dissipation Informed Neural Network for McKean-Vlasov Type PDEs.pdf,Entropy-dissipation Informed Neural Network for McKean-Vlasov Type PDEs,2023,arXiv preprint,math,,low,no,Generic McKean-Vlasov neural PDE solver; too indirect for the OT/UOT/SB/FM trajectory-design route.,no,
Flow Matching for Generative Modeling.pdf,Flow Matching for Generative Modeling,2023,Flow matching for generative modeling. arXiv,,,unknown,pending,,no,
Generalized Schrödinger Bridge Matching.pdf,Generalized Schrödinger Bridge Matching,2023,ICLR 2024,math,math,high,yes,,no,notes/2023__math__iclr__generalized_schrodinger_bridge_matching.md
Generative Entropic Neural Optimal Transport To Map Within and Across Spaces.pdf,Generative Entropic Neural Optimal Transport To Map Within and Across Spaces,2023,NeurIPS 2024,math,math,high,yes,,no,notes/2023__math__neurips__genot.md
I textsuperscript{2}SB Image-to-Image Schrödinger Bridge.pdf,I textsuperscript{2}SB Image-to-Image Schrödinger Bridge,2023,arXiv preprint arXiv:2302.05872,math,math,medium,yes,,yes,notes/2023__math__arxiv__i2sb.md
On the mathematics of RNA velocity II algorithmic aspects.pdf,On the mathematics of RNA velocity II algorithmic aspects,2023,On the mathematics of RNA velocity II: algorithmic aspects. arXiv preprint arXiv:2306.05707.,,,unknown,pending,,no,
Parameterized wasserstein hamiltonian flow.pdf,Parameterized wasserstein hamiltonian flow,2023,arXiv preprint,math,,low,no,"Hamiltonian solver on the probability manifold, but not directly aimed at sparse snapshot bridge/OT/UOT inference.",no,
Partial alignment of multislice spatially resolved transcriptomics data.pdf,Partial alignment of multislice spatially resolved transcriptomics data,2023,"Partial alignment of multislice spatially resolved transcriptomics data.. Genome Research, 33(7), 1124–1132 https://doi.org/10.1101/gr.277670.123",,,unknown,pending,,no,
Robust mapping of spatiotemporal trajectories and cell–cell interactions in healthy and diseased tissues.pdf,Robust mapping of spatiotemporal trajectories and cell–cell interactions in healthy and diseased tissues,2023,Nature Communications,journal,journal,direct,yes,,no,notes/2023__journal__nature_communications__stlearn_psts.md
Screening cell–cell communication in spatial transcriptomics via collective optimal transport.pdf,Screening cell–cell communication in spatial transcriptomics via collective optimal transport,2023,Nature Methods,journal,,indirect,no,OT 用于细胞通讯筛查，不直接建模细胞状态轨迹或连续动力学。,no,
Self-Consistent Velocity Matching of Probability Flows.pdf,Self-Consistent Velocity Matching of Probability Flows,2023,Self-Consistent Velocity Matching of Probability Flows.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2301.13737,,,unknown,pending,,no,
Simulation-free Schrödinger bridges via score and flow matching.pdf,Simulation-free Schrödinger bridges via score and flow matching,2023,AISTATS 2024,math,math,high,yes,,no,notes/2023__math__aistats__simulation_free_schrodinger_bridges.md
Spatial-linked alignment tool (SLAT) for aligning heterogenous slices.pdf,Spatial-linked alignment tool (SLAT) for aligning heterogenous slices,2023,Nature Communications,journal,,indirect,no,空间切片对齐/整合方法，不是轨迹或动力学推断。,no,
Stochastic interpolants A unifying framework for flows and diffusions.pdf,Stochastic interpolants A unifying framework for flows and diffusions,2023,Stochastic interpolants: A unifying framework for flows and diffusions. arXiv preprint arXiv:2303.08797.,,,unknown,pending,,no,
